Date	Time		Year	Mo	D	Hr	Mn	Height			
											
2010-04-14	09:10:00	0	2010	4	14	9	10	5.2			
2010-04-14	09:15:00	5	2010	4	14	9	15	5.4			
2010-04-14	09:20:00	10	2010	4	14	9	20	5.3			
2010-04-14	09:25:00	15	2010	4	14	9	25	5.4			
2010-04-14	09:30:00	20	2010	4	14	9	30	8.2			
2010-04-14	09:35:00	25	2010	4	14	9	35	8.5			
2010-04-14	09:40:00	30	2010	4	14	9	40	5.5			
2010-04-14	09:45:00	35	2010	4	14	9	45	8.3			
2010-04-14	09:50:00	40	2010	4	14	9	50	5.5			
2010-04-14	09:55:00	45	2010	4	14	9	55	5.5			
2010-04-14	10:00:00	50	2010	4	14	10	0	5.5			
2010-04-14	10:05:00	55	2010	4	14	10	5	8.5			
2010-04-14	10:10:00	60	2010	4	14	10	10	8.6			
2010-04-14	10:15:00	65	2010	4	14	10	15	5.6			
2010-04-14	10:20:00	70	2010	4	14	10	20	8.3			
2010-04-14	10:25:00	75	2010	4	14	10	25	8.6			
2010-04-14	10:30:00	80	2010	4	14	10	30	8.3			
2010-04-14	10:35:00	85	2010	4	14	10	35	8.5			
2010-04-14	10:40:00	90	2010	4	14	10	40	8.3			
2010-04-14	10:45:00	95	2010	4	14	10	45	8.6			
2010-04-14	10:50:00	100	2010	4	14	10	50	8.5			
2010-04-14	10:55:00	105	2010	4	14	10	55	8.5			
2010-04-14	11:00:00	110	2010	4	14	11	0	8.6			
2010-04-14	11:05:00	115	2010	4	14	11	5	8.3			
2010-04-14	11:10:00	120	2010	4	14	11	10	5.7			
2010-04-14	11:15:00	125	2010	4	14	11	15	5.6			
2010-04-14	11:20:00	130	2010	4	14	11	20	5.4			
2010-04-14	11:25:00	135	2010	4	14	11	25	8.3			
2010-04-14	11:30:00	140	2010	4	14	11	30	5.5			
2010-04-14	11:35:00	145	2010	4	14	11	35	8.5			
2010-04-14	11:40:00	150	2010	4	14	11	40	8.5			
2010-04-14	11:45:00	155	2010	4	14	11	45	8.8			
2010-04-14	11:50:00	160	2010	4	14	11	50	8.5			
2010-04-14	11:55:00	165	2010	4	14	11	55	8.7			
2010-04-14	12:00:00	170	2010	4	14	12	0	8.5			
2010-04-14	12:05:00	175	2010	4	14	12	5	8.5			
2010-04-14	12:10:00	180	2010	4	14	12	10	8.8			
2010-04-14	12:15:00	185	2010	4	14	12	15	8.7			
2010-04-14	12:20:00	190	2010	4	14	12	20	8.6			
2010-04-14	12:25:00	195	2010	4	14	12	25	8.6			
2010-04-14	12:30:00	200	2010	4	14	12	30	8.6			
2010-04-14	12:35:00	205	2010	4	14	12	35	8.8			
2010-04-14	12:40:00	210	2010	4	14	12	40	8.5			
2010-04-14	12:45:00	215	2010	4	14	12	45	9			
2010-04-14	12:50:00	220	2010	4	14	12	50	8.7			
2010-04-14	12:55:00	225	2010	4	14	12	55	8.7			
2010-04-14	13:00:00	230	2010	4	14	13	0	9			
2010-04-14	13:05:00	235	2010	4	14	13	5	8.8			
2010-04-14	13:10:00	240	2010	4	14	13	10	8.7			
2010-04-14	13:15:00	245	2010	4	14	13	15	6.5			
2010-04-14	13:20:00	250	2010	4	14	13	20	8.6			
2010-04-14	13:25:00	255	2010	4	14	13	25	8.6			
2010-04-14	13:30:00	260	2010	4	14	13	30	8.6			
2010-04-14	13:35:00	265	2010	4	14	13	35	8.7			
2010-04-14	13:40:00	270	2010	4	14	13	40	8.5			
2010-04-14	13:45:00	275	2010	4	14	13	45	8.6			
2010-04-14	13:50:00	280	2010	4	14	13	50	8.7			
2010-04-14	13:55:00	285	2010	4	14	13	55	8.3			
2010-04-14	14:00:00	290	2010	4	14	14	0	8.8			
2010-04-14	14:05:00	295	2010	4	14	14	5	8.8			
2010-04-14	14:10:00	300	2010	4	14	14	10	8.6			
2010-04-14	14:15:00	305	2010	4	14	14	15	9			
2010-04-14	14:20:00	310	2010	4	14	14	20	6.4			
2010-04-14	14:25:00	315	2010	4	14	14	25	8.7			
